ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,total,Hygiene,2020,67.78893,935490166.1,Basic service
IRQ,Iraq,total,Hygiene,2020,97.38824,39171988.75,Basic service
KAZ,Kazakhstan,total,Hygiene,2020,0.23569,44254.5681,No handwashing facility
KEN,Kenya,total,Hygiene,2020,26.75592,14387007.82,Basic service
KGZ,Kyrgyzstan,total,Hygiene,2020,99.84921,6514353.497,Basic service
KHM,Cambodia,total,Hygiene,2020,73.87465,12351082.13,Basic service
KIR,Kiribati,total,Hygiene,2020,55.57538,66382.56484,Basic service
LAO,Lao People's Democratic Republic,total,Hygiene,2020,55.62991,4047384.967,Basic service
LSO,Lesotho,total,Hygiene,2020,5.51014,118041.0118,Basic service
MDG,Madagascar,total,Hygiene,2020,26.56997,7357494.58,Basic service
MDV,Maldives,total,Hygiene,2020,95.82998,518001.3134,Basic service
MHL,Marshall Islands,total,Hygiene,2020,85.06835,50355.35677,Basic service
MKD,North Macedonia,total,Hygiene,2020,99.67369,2076581.601,Basic service
MLI,Mali,total,Hygiene,2020,17.02577,3447860.005,Basic service
MMR,Myanmar,total,Hygiene,2020,74.50769,40539478.54,Basic service
MNE,Montenegro,total,Hygiene,2020,99.2421,623301.9113,Basic service
MNG,Mongolia,total,Hygiene,2020,86.35624,2831009.834,Basic service
MWI,Malawi,total,Hygiene,2020,8.25862,1579871.188,Basic service
NER,Niger,total,Hygiene,2020,23.48585,5685133.342,Basic service
NGA,Nigeria,total,Hygiene,2020,33.19749,68433180.83,Basic service
NIU,Niue,total,Hygiene,2020,21.33333,345.17334,No handwashing facility
NPL,Nepal,total,Hygiene,2020,62.1436,18106661.79,Basic service
OMN,Oman,total,Hygiene,2020,97.4,4973849.828,Basic service
PAK,Pakistan,total,Hygiene,2020,80.06123,176849122.3,Basic service
PHL,Philippines,total,Hygiene,2020,81.71248,89541420.66,Basic service
PNG,Papua New Guinea,total,Hygiene,2020,29.76601,2663173.086,Basic service
PRK,Democratic People's Republic of Korea,total,Hygiene,2020,0,0,No handwashing facility
PRY,Paraguay,total,Hygiene,2020,80.15306,5716941.11,Basic service
PSE,State of Palestine,total,Hygiene,2020,92.05564,4696140.958,Basic service
RWA,Rwanda,total,Hygiene,2020,4.64989,602263.9033,Basic service
SDN,Sudan,total,Hygiene,2020,12.51129,5486109.516,Basic service
SEN,Senegal,total,Hygiene,2020,22.01142,3685577.246,Basic service
SLE,Sierra Leone,total,Hygiene,2020,21.09711,1682913.229,Basic service
SOM,Somalia,total,Hygiene,2020,24.94546,3964635.808,Basic service
STP,Sao Tome and Principe,total,Hygiene,2020,55.4399,121502.6437,Basic service
SUR,Suriname,total,Hygiene,2020,72.10366,422984.5577,Basic service
SWZ,Eswatini,total,Hygiene,2020,24.31107,282048.331,Basic service
SYR,Syrian Arab Republic,total,Hygiene,2020,82.8226,14494498.03,Basic service
TCD,Chad,total,Hygiene,2020,25.30453,4156485.97,Basic service
TGO,Togo,total,Hygiene,2020,17.14669,1419529.053,Basic service
THA,Thailand,total,Hygiene,2020,84.96759,59307359.72,Basic service
TJK,Tajikistan,total,Hygiene,2020,72.86508,6949610.512,Basic service
TKM,Turkmenistan,total,Hygiene,2020,100,6031187,Basic service
TLS,Timor-Leste,total,Hygiene,2020,28.40753,374536.8112,Basic service
TON,Tonga,total,Hygiene,2020,69.53998,73501.67378,Basic service
TUN,Tunisia,total,Hygiene,2020,84.11334,9941034.114,Basic service
TZA,United Republic of Tanzania,total,Hygiene,2020,48.44392,28937592.96,Basic service
UGA,Uganda,total,Hygiene,2020,22.59048,10333109.84,Basic service
VNM,Viet Nam,total,Hygiene,2020,86.06633,83775748.84,Basic service
WSM,Samoa,total,Hygiene,2020,78.8,156347.08,Basic service
ZAF,South Africa,total,Hygiene,2020,44.3697,26315086.09,Basic service
ZMB,Zambia,total,Hygiene,2020,17.93393,3296965.168,Basic service
ZWE,Zimbabwe,total,Hygiene,2020,42.42611,6305761.928,Basic service
